UID          PID    PPID  C STIME TTY          TIME CMD
{HOSTNAME}     985       1  0 Sep20 ?        00:00:00 /usr/lib/systemd/systemd --user
{HOSTNAME}     986     985  0 Sep20 ?        00:00:00 (sd-pam)
{HOSTNAME}     997       1  0 Sep20 ?        00:00:04 /usr/bin/kwalletd5 --pam-login 7 8
{HOSTNAME}     998     983  0 Sep20 ?        00:00:00 /usr/bin/startplasma-x11
{HOSTNAME}    1007     985  0 Sep20 ?        00:00:04 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
{HOSTNAME}    1038       1  0 Sep20 ?        00:00:00 /usr/lib/kf5/start_kdeinit
{HOSTNAME}    1039       1  0 Sep20 ?        00:00:00 kdeinit5: Running...
{HOSTNAME}    1042    1039  0 Sep20 ?        00:00:05 /usr/lib/kf5/klauncher --fd=9
{HOSTNAME}    1054       1  0 Sep20 ?        00:00:26 /usr/bin/kded5
{HOSTNAME}    1058       1  0 Sep20 ?        00:07:24 /usr/bin/kwin_x11
{HOSTNAME}    1076     985  0 Sep20 ?        00:00:07 /usr/bin/kglobalaccel5
{HOSTNAME}    1085     985  0 Sep20 ?        00:00:00 /usr/lib/dconf-service
{HOSTNAME}    1087       1  0 Sep20 ?        00:00:09 /usr/bin/ksmserver
{HOSTNAME}    1107       1  0 Sep20 ?        00:00:05 /usr/bin/xembedsniproxy
{HOSTNAME}    1110       1  0 Sep20 ?        00:00:08 /usr/lib/org_kde_powerdevil
{HOSTNAME}    1112       1  0 Sep20 ?        00:08:13 /usr/bin/plasmashell
{HOSTNAME}    1114       1  0 Sep20 ?        00:00:05 /usr/lib/polkit-kde-authentication-agent-1
{HOSTNAME}    1118       1  0 Sep20 ?        00:00:08 /usr/bin/kaccess
{HOSTNAME}    1122       1  0 Sep20 ?        00:00:03 /usr/lib/baloo_file
{HOSTNAME}    1134       1  0 Sep20 ?        00:00:04 /usr/bin/gmenudbusmenuproxy
{HOSTNAME}    1135     985  0 Sep20 ?        00:00:06 /usr/lib/kactivitymanagerd
{HOSTNAME}    1138       1  0 Sep20 ?        00:00:08 /usr/lib/kdeconnectd
{HOSTNAME}    1141       1  0 Sep20 ?        00:00:09 /usr/lib/DiscoverNotifier
{HOSTNAME}    1158     985  1 Sep20 ?        00:29:15 /usr/bin/pulseaudio --daemonize=no --log-target=journal
{HOSTNAME}    1160       1  0 Sep20 ?        00:00:11 /usr/bin/msm_kde_notifier
{HOSTNAME}    1163       1  0 Sep20 ?        00:00:00 /usr/lib/geoclue-2.0/demos/agent
{HOSTNAME}    1165       1  0 Sep20 ?        00:04:30 /opt/hamsket/hamsket
{HOSTNAME}    1177       1  0 Sep20 ?        00:00:05 /usr/bin/pamac-tray-plasma
rtkit       1181       1  0 Sep20 ?        00:00:00 /usr/lib/rtkit-daemon
root        1207       1  0 Sep20 ?        00:00:06 /usr/lib/packagekitd
{HOSTNAME}    1234     985  0 Sep20 ?        00:00:00 /usr/lib/gvfsd
{HOSTNAME}    1240     985  0 Sep20 ?        00:00:00 /usr/lib/gvfsd-fuse /run/user/1000/gvfs -f
{HOSTNAME}    1285     985  0 Sep20 ?        00:00:05 /usr/lib/kf5/kscreen_backend_launcher
{HOSTNAME}    1291     985  0 Sep20 ?        00:00:00 /usr/lib/bluetooth/obexd
root        1300       2  0 Sep20 ?        00:00:00 [krfcommd]
{HOSTNAME}    1303    1158  0 Sep20 ?        00:00:00 /usr/lib/pulse/gsettings-helper
root       74128       2  0 12:16 ?        00:00:00 [kworker/11:3-mm_percpu_wq]
root       76451       2  0 12:40 ?        00:00:00 [kworker/1:2-events]
root       77670       2  0 12:59 ?        00:00:00 [kworker/5:2-mm_percpu_wq]
root       77816       2  0 13:03 ?        00:00:00 [kworker/9:0-pm]
root       77940       2  0 13:06 ?        00:00:00 [kworker/7:0-events]
root       78794       2  0 13:24 ?        00:00:01 [kworker/u24:25-i915]
root       78797       2  0 13:24 ?        00:00:01 [kworker/u24:29-events_unbound]
root       78800       2  0 13:24 ?        00:00:00 [kworker/u24:32-events_unbound]
root       78844       2  0 13:24 ?        00:00:00 [irq/147-mei_me]
root       79126       2  0 13:24 ?        00:00:06 [kworker/u25:2-hci0]
root       79292       2  0 13:24 ?        00:00:00 [irq/181-pciehp]
root       79474       2  0 13:24 ?        00:00:00 [scsi_eh_5]
root       79475       2  0 13:24 ?        00:00:00 [scsi_tmf_5]
root       79559       2  0 13:24 ?        00:00:00 [kworker/3:0-mm_percpu_wq]
root       80939       2  0 13:31 ?        00:00:00 [kworker/8:0-events]
root       81165       2  0 13:36 ?        00:00:00 [kworker/3:1-events]
root       81227       2  0 13:38 ?        00:00:00 [kworker/10:1-events]
root       81436       2  0 13:41 ?        00:00:01 [kworker/2:0-events]
root       81439       2  0 13:41 ?        00:00:00 [kworker/4:2-events]
root       81455       2  0 13:42 ?        00:00:00 [kworker/3:2-events]
root       81457       2  0 13:42 ?        00:00:00 [kworker/6:1-events]
root       81486       2  0 13:42 ?        00:00:02 [kworker/u25:0-hci0]
root       81525       2  0 13:43 ?        00:00:00 [kworker/0:0-events]
root       81860       2  0 13:45 ?        00:00:00 [kworker/9:2-pm]
root       81922       2  0 13:45 ?        00:00:00 [kworker/5:1-mm_percpu_wq]
root       82103       2  0 13:47 ?        00:00:00 [kworker/4:1-mm_percpu_wq]
root       82112       2  0 13:47 ?        00:00:01 [kworker/2:1-events]
root       82113       2  0 13:47 ?        00:00:00 [kworker/6:2-events]
root       82179       2  0 13:47 ?        00:00:00 [kworker/8:1-events]
root       82196       2  0 13:48 ?        00:00:00 [kworker/7:1-events]
root       82434       2  0 13:48 ?        00:00:00 [kworker/u24:0-ext4-rsv-conversion]
root       82460       2  0 13:48 ?        00:00:00 [kworker/11:0-mm_percpu_wq]
root       82640       2  0 13:49 ?        00:00:00 [kworker/0:1-events]
root       82641       2  0 13:49 ?        00:00:00 [kworker/1:0-events]
{HOSTNAME}   82738    1039  0 13:49 ?        00:00:00 tags.so [kdeinit5] tags local:/run/user/1000/klauncherGPdLds.1.slave-socket local:/run/user/1000/dolphinuaPeCz.13.slave-socket
{HOSTNAME}   82739    1039  0 13:49 ?        00:00:00 tags.so [kdeinit5] tags local:/run/user/1000/klauncherGPdLds.1.slave-socket local:/run/user/1000/plasmashellhxvTTs.122.slave-socket
{HOSTNAME}   82826    1039  0 13:50 ?        00:00:00 kio_file.so [kdeinit5] file local:/run/user/1000/klauncherGPdLds.1.slave-socket local:/run/user/1000/dolphinxANENe.14.slave-socket
